LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
7.1932769,45.1443828,1,VIA PISSAGLIO,,BRUZOLO,,,,092A404D-0133-2A08-E054-0003BA0F36E6,3ca3bfeed111dfc9
7.235747,45.1222095,33,VIA AUGUSTO ABEGG,,BORGONE SUSA,,,,092A404D-1C40-2A08-E054-0003BA0F36E6,1dbd65c4ebb99ce1
7.2262096,44.9330853,48,VIA PROVINCIALE,,INVERSO PINASCA,,,,092A404C-7191-2A08-E054-0003BA0F36E6,94eeed8aabf6379a
7.3886613,44.8147753,65,VIA GERBIDI,,CAVOUR,,,,092A404C-691C-2A08-E054-0003BA0F36E6,28aa3b89fc6550a9
7.5702466,45.0662611,48,VIA PIETRO CROSETTO,,GRUGLIASCO,,,,092A404C-56BB-2A08-E054-0003BA0F36E6,bfd4204a944a8f0b
7.5681616,45.0692911,43,VIA CATANIA,,COLLEGNO,,,,092A404C-55B2-2A08-E054-0003BA0F36E6,d44d3f02dd5144cb
7.1920846,44.9628012,26,VIA GENEBREA,,PEROSA ARGENTINA,,,,092A404C-4F31-2A08-E054-0003BA0F36E6,4674e24bdc4ff549
8.1062977,45.0043177,80,VIA MONDO,,MONTECHIARO D'ASTI,,,,092A4049-DCC4-2A08-E054-0003BA0F36E6,b0b937b31fa03010
7.9207338,45.1227541,4,STRADA MONGALLO,,CASE SPARSE,,,,092A404C-E865-2A08-E054-0003BA0F36E6,065ddc670c098aaf
7.1409173,45.1425025,36,VIA MASSIMO D'AZEGLIO,,BUSSOLENO,,,,092A404D-3CDE-2A08-E054-0003BA0F36E6,64ae217abcba0424
7.0087897,45.1364532,31,FRAZIONE SAN GIOVANNI,,GIAGLIONE,,,,092A404D-3AEF-2A08-E054-0003BA0F36E6,21d57e008f46ac22
8.0071293,45.4507373,28,STRADA SAN PIETRO,,PIVERONE,,,,092A404D-8220-2A08-E054-0003BA0F36E6,a307a549802612cc
7.8821106,45.1551712,44,STRADA OSSOLE,,CASTAGNETO PO,,,,092A404D-5737-2A08-E054-0003BA0F36E6,d7460c8fbdfe7c44
7.1637654,45.1424807,2,VIA VIII LUGLIO,,CHIANOCCO,,,,092A404D-57CD-2A08-E054-0003BA0F36E6,78b5908fb2e0594e
7.1958109,45.1422669,1,PIAZZA REGINA MARGHERITA,,BRUZOLO,,,,092A404C-DCC6-2A08-E054-0003BA0F36E6,f96f1e1c2a06a3d9
7.5779874,45.0714888,43,VIA CESARE BATTISTI,,COLLEGNO,,,,092A404C-D780-2A08-E054-0003BA0F36E6,492d4fddf8be13a1
7.5388308,45.1991925,15,ROTTA GOLF,,FIANO,,,,092A404C-D6D1-2A08-E054-0003BA0F36E6,c88166fac370710e
7.890338,45.3086878,8,VIA MORETTO,,CALUSO,,,,092A404C-CEC0-2A08-E054-0003BA0F36E6,f4888a97bf60d570
7.8774942,45.2800816,14,VIA MONTE NERO,,RODALLO,,,,092A404C-C9F7-2A08-E054-0003BA0F36E6,ca0d53329515f4e5
7.89843,45.3025371,81,VIA PRIMINO FRASSATI,,CALUSO,,,,092A404C-CA3D-2A08-E054-0003BA0F36E6,af746ea512877c50
7.5636401,45.0705576,25,VIA ISONZO,,COLLEGNO,,,,092A404C-C326-2A08-E054-0003BA0F36E6,6e6911da45181329
7.3312979,44.8858154,2,VICOLO SOCIETA' OPERAIA,,PINEROLO,,,,092A404C-B95D-2A08-E054-0003BA0F36E6,8a67db6b96863e51
7.331306,44.8865762,16,VIA del DUOMO,,PINEROLO,,,,092A404C-AEB8-2A08-E054-0003BA0F36E6,6e9f721fa02c3b2e
7.3378432,44.8859739,174,CORSO TORINO,,PINEROLO,,,,092A404C-AC74-2A08-E054-0003BA0F36E6,4e7c405b6a059250
7.4587105,44.3915444,74,VIA TORRETTE,,SAN ROCCO,,,,092A4044-38F0-2A08-E054-0003BA0F36E6,5dcb56371a245ea8
7.4512598,44.3905523,66,VIA CUNEO,,BERNEZZO,,,,092A4044-3AAD-2A08-E054-0003BA0F36E6,04762694f41c2588
6.9826818,45.1188241,10,VIA CAMILLO BENSO CAVOUR,,CHIOMONTE,,,,092A404D-3F04-2A08-E054-0003BA0F36E6,68d276678cf96a28
7.4274221,45.0832467,3,VIA CAPOLUOGO,,FERRIERA,,,,092A404C-AC88-2A08-E054-0003BA0F36E6,2bb16227f1cf6bec
7.3362713,44.885798,9,CORSO TORINO,,PINEROLO,,,,092A404C-A6A2-2A08-E054-0003BA0F36E6,bb07b17142866e33
7.4740792,45.0253318,18,VIA ROCCIAMELONE,,BRUINO,,,,092A404C-A3F0-2A08-E054-0003BA0F36E6,bd6d8ba01af27c06
7.3329706,44.8879239,1,VIA ARSENALE,,PINEROLO,,,,092A404C-A2BF-2A08-E054-0003BA0F36E6,186b17df7a0fee08
